Epoch,GIN_Train_Loss_Mean,GIN_Test_Acc_Mean,CW_Train_Loss_Mean,CW_Test_Acc_Mean
1,0.7642387877705613,60.0,1.0254527564466434,58.394160583941606
2,0.7112101598667693,61.362530413625315,0.7373876709717614,59.051094890510946
3,0.6983317065412982,59.12408759124088,0.7335539766471751,57.59124087591242
4,0.6836980897144679,59.24574209245742,0.7155445465786323,58.272506082725066
5,0.6743149924162242,61.119221411192214,0.7112228037087007,58.68613138686131
6,0.673748361078202,60.19464720194647,0.7020135588599528,58.61313868613138
7,0.6696265214551105,59.318734793187346,0.6967082494076731,58.07785888077859
8,0.6697865753858339,59.97566909975669,0.6879384548994747,58.515815085158145
9,0.6618623058581294,59.78102189781022,0.6901669998528603,59.63503649635037
10,0.6640152338647495,60.75425790754258,0.6863963370485607,59.27007299270074
11,0.6592240824026493,61.3625304136253,0.6800137594958581,61.557177615571774
12,0.6581676263878815,61.873479318734795,0.6781367880874596,62.092457420924575
13,0.6509621272701998,60.729927007299274,0.6745184308421003,61.92214111922141
14,0.6543468808315676,60.31630170316303,0.6714780938306284,61.970802919708035
15,0.6526026372201832,62.846715328467155,0.6670902389969559,63.04136253041363
16,0.6497533773853831,62.7250608272506,0.6656791602318014,61.14355231143552
17,0.6453721322282387,62.60340632603406,0.6690333541582391,62.992700729927016
18,0.6411828469911052,64.67153284671532,0.664425060551822,63.43065693430657
19,0.6366803763846701,65.71776155717762,0.6654326639616286,63.600973236009736
20,0.635387329463541,64.45255474452554,0.6583912001329036,63.47931873479318
21,0.6319755674278649,65.9367396593674,0.6568691961376627,62.360097323600975
22,0.6282306885197214,64.54987834549878,0.6592945287117413,63.941605839416056
23,0.6273814902978512,64.08759124087592,0.6559087855392419,63.600973236009736
24,0.6257072003508426,65.69343065693431,0.6530884231094025,64.28223844282238
25,0.621593126531355,65.74209245742092,0.650106708962842,63.55231143552311
26,0.6213263449587672,65.47445255474453,0.6521062201537065,64.64720194647202
27,0.6142425955647101,66.54501216545012,0.6514786860368548,64.3065693430657
28,0.6164416766514743,66.22871046228711,0.643420213330401,63.35766423357664
29,0.6116324062184987,66.93430656934306,0.6408164504090654,66.27737226277372
30,0.6096831215269083,65.57177615571777,0.6434999105994138,67.51824817518248
31,0.6096933361097554,66.03406326034062,0.6372315397227768,67.08029197080292
32,0.6115062915205666,67.63990267639903,0.6340951985396319,66.56934306569343
33,0.60767773511636,66.90997566909975,0.6340815142413415,64.35523114355232
34,0.604632025014455,68.1021897810219,0.6336160047791011,66.10705596107056
35,0.601760824956453,67.8345498783455,0.6387315331874392,67.39659367396594
36,0.601935231917676,66.69099756690997,0.6314866496988747,67.0316301703163
37,0.6021622372079649,68.27250608272507,0.6255873042591586,67.42092457420924
38,0.5996865477440132,67.39659367396595,0.6246809164538,68.02919708029196
39,0.5997382911452412,68.46715328467153,0.6257150890473322,67.03163017031629
40,0.595427421438723,68.90510948905109,0.6162821216594854,66.22871046228711
